French,English/Yoruba
tragédie,tragedy/abam?
commandes,orders/pipa??
pénis,penis/oko
boue,mud/am?
dettes,debts/aw?n gbese
obscurité,darkness/okunkun
pages,pages/oju-iwe
chapitre,chapter/akori
violent,violent/iwara
signature,signature/ib?w?lu
vendeur,seller/ataja obinrin
visages,faces/oju
essayait,was trying/n gbiyanju
serré,tight/fifun
mères,mothers/aw?n iya
tels,such/nkan b??
halte,stop/Duro
collection,collection/akoj?
désastre,disaster/ajalu
mourra,will die/yoo ku
reconnaissance,recognition/idanim?
blagues,jokes/awada
duke,Duke/Dupe
méthode,method/?na
bienvenu,welcome/kaab?
gratuit,free/?'ofo
marches,steps/aw?n igbes?
Brooklyn,Brooklyn/Brooklyn
enfermé,shut in/tiipa
gants,gloves/aw?n ib?w?
rompu,broken/fif?
coïncidence,coincidence/i?e kon-g?
vilain,naughty/ilenibini
trahison,treason/idit?
août,august/O?u K?j?
quatrième,fourth/ik?rin
censée,supposed/y?
devaient,were to/ni lati
placé,square/oniham?rin
ténèbres,darkness/okunkun
enfui,fled/salu
vire,fired/da ?k?
population,population/iye eniyan
manges,eating/jij?
chasseur,hunter/?l?d? obinrin
livraison,delivery/ifiji??
reprend,resumes/b?r? pada
emporte,take away/mu kuro
louer,hire/b?w?
bizarres,bizarre/eem?
journalistes,journalists/oniroyin
câble,cable/okun
longs,long/gigun
estime,valued/wulo
démons,demons/aw?n ?mi è?u
impôts,taxes/owo-ori
massacre,massacre/iparun
pomme,apple/Apu
autoroute,motorway/opopona
sociale,social/awuj?
moyenne,medium/laarin
ingénieur,engineer/?l?r?
doug,Doug/Doug
laissent,leave/fi ibikan sil?
divine,Divine/Gb?san
obligée,compulsory/torúra
concentrer,focus/idojuk?
opéra,opera/ijo
oxygène,oxygen/af?f?
sexuel,sexual/ibalop?
industrie,industry/ile i??
z,Z/Z
sortons,let's go out/j? ki a jade
accent,accent/is?r?si
lawrence,Lawrence/Oruk?
gris,Grey/Aw? eeru
sean,sean/Sean
mesures,measures/aw?n igbese
batterie,drums/aw?n ilu
toast,toast/akara
communication,communication/ibarap?
manche,sleeve/apa a??
grandir,to grow/lati dagba
tonnes,tons/tos
zut,Damn/Gbaga
numéros,numbers/Aw?n n?mba
officiel,official/o?i??
chariot,cart/k?k?
prime,prime/iran
poésie,poetry/ewi
annuler,to cancel/lati fagile
chagrin,grief/ip?nju
ellen,Ellen/Ellen
déconne,disconnect/ge kuro
dennis,Dennis/Dennis
complexe,complex/eka
trafic,traffic/opopona
trouille,funk/?r?
débrouiller,get off/bo sile
commencent,begin/berè
discute,discuss/jiroro
communiste,Communist/?m? ?gb? obinrin
francs,francs/francs
française,French/Faranse
foie,liver/?d?
statue,statue/ere
résistance,resistance/atako
mettra,will put/yoo fi
volontiers,gladly/inudidun
pendu,hanged/adiye
ignorer,ignore/paati
tireur,shooter/ayanm?
eut,had/ní
creuser,dig/hu il?
médaille,medal/ohun-ami iyin
équipement,equipment/ohun elo
chaos,chaos/ipeja
salue,salute/b?w? fun eniyan
survie,survival/iye
trouvés,found/ri
rencontrée,met/pade
longues,long/gigun
gâché,spoils/ikogun
harris,Harris/Harris
fiers,proud/gberaga
contient,contains/ni
oignons,onions/Alubosa
vaches,cows/malu
sensation,sensation/aibal?
chanceux,lucky/orire
gamine,kid/?m?
cooper,cooper/ay?wo
cessé,stopped/duro
ressemblait,looked like/dabi ?ni
plante,plant/ohun ?gbin
solitude,solitude/idawa
activité,activity/i?? ?i?e
mobile,mobile/alagbeka
rejoint,join/dap?
économie,economy/?r? aje
armés,armed/ti ologun
regardent,look/wo
couru,ran/ran
regardait,looked at/wo
ford,Ford/Forisa
terroriste,terrorist/apanilaya ?kunrin
assister,assist/iranw?
bail,lease/ya il?
roue,wheel/k?k?
sachez,know/m?
harold,Harold/Haw?ld
amenez,amenez/amenz
causé,cause/idi
rigoles,channels/aw?n ikanni
présenté,present/l?w?l?w?
mordu,bitten/bu
jacques,Jacques/(
fans,fans/Aw?n egeb onijakidijagan
freddy,Freddy/Freddy
pourvu,provided/pese
décisions,decisions/aw?n ipinnu
jacob,jacob/Jakobu
taux,rate/iw?n
nègre,Negro/Negro
jetez,throw away/ju danu
malédiction,curse/epe
masse,mass/?p?
pompes,pumps/aw?n ifa
reconnaissant,grateful/omoore
pension,pension/if?hinti
regardant,looking/nwa
règne,reign/ij?ba obinrin
saut,leap/fo
terreur,terror/?ruj?j?
avaler,swallow/gbe m?
pratiquement,practically/f?r?
jalouse,jealous/ojowu
outils,tools/Aw?n irin
tueurs,killers/apawa
terriblement,terribly/ibanil?ru
écriture,writing/ik?we
etje,and I/ati Emi
luxe,luxury/inudidun
irez,go on/t?siwaju
ambassadeur,ambassador/a?oju ij?ba
bush,bush/igbo
informer,inform/ifil?
orage,storm/efuufu
revenus,income/owo wiw?le
pisse,piss/piss
sachant,knowing/m?
tombes,fallen down/?ubu lul?
rois,kings/aw?n ?ba
judy,Judy/Iyanu
môme,kid/?m?
diego,diego/Diego
atmosphère,atmosphere/oyi oju-aye
routes,roads/opopona
coach,coach/ak?k?
ennui,boredom/isuni
poème,poem/ewi
jouets,toys/isere
jennifer,Jennifer/Ti Jennifer
revue,review/atuny?wo
adaptation,adaptation/ij?baara
suffira,will suffice/yoo to
collège,middle school/ile-iwe arin
singes,monkeys/obo
otage,hostage/gbalejo
apprécier,enjoy/gbadun
diplôme,diploma/dipiloma
bâtard,bastard/?m? ale
destination,destination/opin irin ajo
analyse,to analyse/lati itupal?
caroline,caroline/agbekari
demandent,request/ibeere
côtes,ribs/?gb?
fermes,farms/oko
royal,royal/?l?la
tit,tit/Nili
mérites,merits/it?si
texte,text/?r?
jusque,until/titi
tigre,tiger/?kun
çà,that/iy?n
be,be/j?
pouce,thumb/atan-pako
requin,shark/eja Shaki
espèces,species/?ya
teddy,teddy/teed
annulé,canceled/paar?
dangereuse,dangerous/o lewu
tiendra,will hold/yoo mu
emmenez,take/mu
passerai,will pass/yoo k?ja
habillé,dressed/w???
satisfait,satisfied/itelorun
sépare,separate/ya s?t?
agi,act/i?e
serre,tight/fifun
neil,neil/ara neil
cassée,broken/fif?
deviez,had to/ni lati
ramasser,to pick up/lati mu
baisser,to lower/lati dinku
pirates,pirates/ajalelokun
so,SO/L?
détendre,loosen/titu
rembourser,refund/agbapada
expliqué,Explain/?alaye
lecture,reading/kika iwe
attire,attracted/han
carrément,downright/asal?
irons,irons/a?aro
mere,mother/iya
pensons,Think/Ronu
travaillais,work/i??
syndicat,union/?gb?
queique,asic/ajatic
indice,index/at?ka
enverrai,will send/yoo firan??
hill,hill/apata
joint,seal/ont?
marques,brands/aw?n burandi
dépassé,outmoded/ti ita
pa,pa/pa
ailles,wounds/aw?n ?gb?
pourront,may/le
clown,clown/alawada
poubelle,garbage can/idoti le
marins,sailors/aw?n ?k? oju-omi
vaincre,overcome/bori
demandait,asked/beere
testament,will/yoo
sonné,wounded/gb?gb?
flammes,flames/ina
dégueulasse,disgusting/irira
administration,administration/abojuto eto ij?ba
envoyée,envoy/eto ?sin
green,green/alaw? ewe
lâché,cowardly/ma?e
épaules,shoulders/ejika
artistes,artists/aw?n o?ere
er,er/eri
énormément,enormously/dara pup?
quittes,quit/l? kuro
accuse,accused/af?sunkan obinrin
importants,important/pataki
écoles,schools/aw?n ile-iwe
cm,cm/cm
reverra,will see again/yoo tun rii
trône,throne/it?
laboratoire,laboratory/ile im?-jinl?
panier,basket/ap?r?
lave,wash/f?
buddy,Buddy/?r?
cuir,leather/aw?
huh,huh/iho
foutus,damn/Gbaga
resterai,will remain/yoo wa
cendres,ashes/asru
environnement,environment/agbegbe
rumeur,rumor/ofofo
vaudrait,would be worth/yoo t?
risquer,risk/ewu
tranquilles,quiet/dak?r?r?
earl,earl/sel?
planté,plant/ohun ?gbin
costumes,costumes/a??
machin,thing/nnkan
indique,noted/?e akiyesi
citoyen,citizen/?m? ilu obinrin
aurions,will have/yoo ni
times,Times/Igba
viol,rape/fi ipa ba obinrin
shirt,shirt/???ti
connards,assholes/aw?n onim?n
essaierai,will try/yoo gbiyanju
accomplir,accomplish/?ey?ri
pipi,pee/pepe
reviennent,come back/pada wa
little,Little/Di?
vodka,vodka/Oti fodika
pétrin,kneaded/woye
déclare,declared/kede
scientifiques,scientists/aw?n onimoro
Anderson,Anderson/Anderson
censés,supposed/y?
Kansas,Kansas/Kannas
boules,balls/aw?n boolu
éclair,flash/filasi
vain,vain/alaiwulo
nuage,cloud/aw?sanma
anneau,ring/oruka
fumier,manure/ajil?
profonde,deep/jijin
étude,study/kawe
atelier,workshop/ile i??
cuisiner,to cook/lati Cook
malheureuse,unhappy/aidunnu
catholique,Catholic/?l?sin Katoliki
précisément,precisely/lafi
talents,talents/talenti
importantes,important/pataki
bouteilles,bottles/ike
vomir,To vomit/Lati vomit
tonnerre,thunder/aruwo-ara
hong,Hong/Niye
destinée,destiny/ipin
plaisanterie,joke/yi apaniyan
piges,rods/?pá
Moore,Moore/Moore
observer,observe/?ay?wo
mines,mines/aw?n i??ju
comtesse,countess/kika ?ni
rate,missed/padanu
coûter,cost/idiyele
Jamie,Jamie/Jamie
télégramme,telegram/t?ligiramu
élu,elected/dibo
stupides,stupid/omug?
partant,go by/l? nipas?
caution,bail/igb?w?
maudite,cursed/eegun
écart,difference/iyato
inquiètes,worried/wahala
oú,Where/Nibo
évidence,evidence/?ri
leçons,lessons/aw?n ?k?
etc,etc/patako ati b?b?
retiré,took of/mu ti
Greg,Greg/Greg
rendent,make/?e
volontaire,deliberate/m??m?
Oliver,Oliver/Ololife
prêter,to lend/lati wín
nichons,tits/ori?i
capitale,capital city/olú ìlú
témoigner,bear witness/j? ?l?ri
équipes,teams/?gb?
partent,leave/fi ibikan sil?
sincèrement,sincerely/lootit?
regretter,to regret/lati kabam?
responsabilités,responsibilities/aw?n oju-i??
dean,dean/diini
partirai,will leave/yoo l? kuro
misère,misery/iyanu
vampires,vampires/vampires
Nina,Nina/Lina
gâteaux,cakes/akara
diamant,diamond/okuta iyebiye
meubles,furniture/ohun ???
voyages,trips/aw?n irin ajo
subir,undergo/ni ab?
allah,Allah/Allah
führer,führer/führer
arrêtée,arrested/mu
explose,explode/bu gbamu
range,tidied up/tidied soke
interview,interview/if?r?wanil?nuwo
voile,sail/ri loju omi
fiches,cards/aw?n kaadi
caravane,caravan/ile-i??n
Manhattan,Manhattan/Iran eniyan
blue,Blue/Bulu
vagues,waves/igbi
pleins,full/kun
commercial,commercial/i?owo
fonction,function/i??
pères,fathers/Aw?n baba
circulation,traffic/opopona
tennis,tennis/t?nisi
Marc,Marc/Marc
civilisation,civilization/?laju
fameux,famous/olokiki
retenu,retained/f?s?mul?
draps,sheets/a?? ibora
servent,serve/iran??
couches,layers/ool?
satellite,satellite/sat?laiti
ramasse,picked up/ti gbe
fillette,girl/?m? obinrin
rendra,will return/yoo pada
observe,observed/?e akiyesi
ouverts,open/?ii
sortait,was going out/n jade
passais,passed/koja
transfert,transfer/gbe si ibomii
bidon,can/agolo
améliorer,improve/tun?e
civil,civil/ara ilu
maintenir,maintain/?et?ju
Vietnam,Vietnam/Vietnam
mangent,eat/j?un
connaissiez,knew/m?
sue,sue/pe
ricky,ricky/ricky
assaut,assault/ik?lu
fâchée,angry/binu
portent,carry/gbe
kay,kay/kay
karl,karl/Karl
pareils,the same/ikan na
tracy,tracy/idije
pr,pr/pr
inconnue,unknown/ohun aim?
disparition,disappearance/ipaar?
nicky,nicky/nicky
pompe,pump/fifa omi
méchante,nasty/?l?gbin
lancement,launch/ifil?l?
quartiers,neighborhoods/adugbo
douceur,candy/taba
tendu,tense/fa nkan
feuille,leaf/ewe
pilotes,pilots/awak?
mâle,male/ak?
tenais,held/waye
royale,royal/?l?la
cordes,ropes/aw?n oorun
arrivez,arrive/de
promenade,ride/gun
magnifiques,magnificent/?l?wa
emma,Emma/Emma
veronica,Veronica/Verica
adn,DNA/DNA
monseigneur,My lord/Oluwa mi
meure,detection/i?awari
airs,tune/orin
emmenée,taken/ya
actuellement,currently/l?w?l?w?
médias,media/aw?n media
avertissement,Warning/Ikil?
brille,shines/tan
conflit,conflict/ogun
pompiers,firefighters/aw?n onija ina
engin,machine/?r?
plains,plains/p?t?l?
foire,fair/aiburu
partira,will leave/yoo l? kuro
soutenir,sustain/t?ju alaisan
beach,beach/eti okun
saigne,bleeding/n??j?
construction,construction/ik?le
boucher,butcher/alapata
missiles,missiles/eeyan
warren,warren/?awariri
régiment,regiment/?gb? ogun kan
remarquer,to remark/lati ?e ifesi
enregistré,checked in/?ay?wo ninu
collins,collins/kopokun
enregistrement,registration/fiforuk?sil?
doutes,doubts/?iyemeji
profit,profit/ere
audition,hearing/gbigb?
lame,blade/ab?
opportunité,opportunity/anfaani
imaginé,conceived/loyun
coke,coke/coke
existent,exist/wa ninu
budget,budget/a?aro
basse,low/l? sil?
déja,already/t?l?
historique,historical/itan
officiellement,officially/ni ifowomuni
osé,daring/darin
éternel,eternal/laelae
serpents,snakes/ejo
demanderai,will ask/yoo beere
médicament,drug/oogun
armées,armies/aw?n ogun
promesses,promises/aw?n ileri
chaînes,chains/aw?n ?w?n
sentait,felt/ro
association,association/?gb?
viennes,viennes/aw?n Vienes
poker,poker/ere eregan
saleté,dirt/id?ti
sandy,sandy/oniyanrin
ã,has/ni
commences,outburst/outburst
crevé,outstanding/dayato
cuba,Cuba/Kuba
wendy,Wendy/A?a
viendront,will come/yoo wa
étudie,studied/k?k?
apportez,bring/mu wa
tribu,tribe/?yà
héroïne,heroin/ak?ni
changements,changes/aw?n ayipada
mouvements,movements/aw?n agbeka
atterrir,to land/si il?
fragile,brittle/ohun ?l?g?
poignée,handle/mu dani
cadre,framework/ilana
genou,knee/orunkun
conçu,designed/ap?r?
revu,saw again/ri l??kansi
légitime,legit/?ri
sauvée,saved/Ti o fipam?
déménager,to relocate/Lati gbe
conne,stupid/omug?
ondes,waves/igbi
ralph,ralph/Ralh
discipline,discipline/is?ra
parié,betrayed/fi sil?
bières,beers/ounj?
arabe,Arab/Gbese
identifié,identified/?e idanim?
décès,death/iku
guy,guy/eniyan
get,Get/Gba
demoiselle,lady/iyaafin
ressemblent,look alike/j?ra
misérable,miserable/oto?i
ancêtres,ancestors/aw?n baba w?n
dormez,sleep/sun
disponible,available/wa
cuit,cooked/jinna
suspects,suspect/?daran
pognon,cash/owo
Ronnie,Ronnie/Ors
établir,establish/fifin
retrouvée,found/ri
sabre,saber/nako?e
André,André/André
continues,continuous/tit?siwaju
kid,kid/?m?
lola,lola/lola
souvient,Remember/?eranti
enfermer,enclose/fi nkan sinu
accorde,allowed/gba ? laaye
chemins,paths/aw?n ?na
troupeau,herd/agbo
saluer,greet/ki eniyan
nettoie,clean/s? di mim?
assiette,plate/awo
touches,keys/aw?n b?tini
impact,impact/ipa
dessins,drawings/yiya
rompre,to break up/lati f? soke
verrons,will see/yoo ri
angoisse,anguish/eegun
états,states/ipinle
écrasé,crushed/ti a t?
tiennent,hold/dimu
Murphy,Murphy/Murphy
Ivan,Ivan/Ifeki
assistante,assistant/olùrànlówó
maquillage,makeup/ifipaju
ticket,ticket/Tiketi
quête,quest/iwaadi
boxe,boxing/apa opo
arriverait,would arrive/yoo de
répétition,repetition/tun?e
agissait,acted/huwa
culpabilité,guilt/?bi
brésil,Brazil/Brazil
penny,penny/ik?we
miracles,miracles/iyanu
vachement,really/gaan
considère,considered/?akiyesi
âne,donkey/k?t?k?t?
comprennent,understand/oye
Christian,Christian/Kristi?ni
Justin,Justin/Justin
méthodes,methods/Aw?n ?na
Tyler,Tyler/Tyler
sortant,outgoing/ti njade
revanche,revenge/?san
mentez,lie/ir?
bud,bud/bugba
Abby,Abby/Abo
placer,to place/lati gbe
absent,absent/aiwa
arrivais,arrived/de
escaliers,stairs/abagunke
routine,routine/ilana-i?e
noté,note/akiyesi
prenais,took/mu
conducteur,driver/awako
subi,suffered/jiya
photographe,photographer/oluyaworan
noires,black/dudu
marchandise,merchandise/?ru-?ja
défaut,default/aiyipada
dog,dog/aja
négocier,to negotiate/Lati duna dura
janvier,January/O?u Kini
baraque,barrack/agbo
filet,net/aw?n
confortable,comfortable/it?l?run
rayons,rays/egungun
Harvard,Harvard/Harvard
may,May/Le
bêtise,stupidity/oponu
jugé,judge/onidaj?
Mitch,Mitch/Kose
organise,organized/?eto
pertes,losses/aw?n adanu
planque,hideout/fipam?
grotte,cave/iho-il?
tristesse,sadness/ibanuj?
héritage,heritage/ororo
Benjamin,Youngest/Abik?hin
Antoine,Antoine/Antoine
bloqué,blocked/dina
constamment,constantly/loorekoore
infiniment,infinitely/laisi inu
manager,manager/olu?akoso obinrin
Jan,Jan/Jan
réduit,reduced/dinku
gré,grateful/omoore
filmé,filmed/filimu
stars,stars/iraw?
Owen,Owen/Owen
embrassé,embraced/pa
peint,painted/ya
Lloyd,Lloyd/Lloyd
voisine,neighbor/alabagbele
douzaine,dozen/mejila
frankenstein,Frankenstein/Flankpein
attaques,attacks/kolu
gênant,embarrassing/idojuti
superman,superman/superman
arrivant,arrival/dide
brillante,brilliant/ja
attendra,will wait/yoo duro
allure,pace/kiakia
clef,key/k?k?r?
Bruno,Bruno/Egungun ab?ra
Rebecca,Rebecca/Rebecca
bang,bang/keun
gardiens,guards/aw?n olu??
formule,formula/ami ?la
frites,fries/sisun
angel,angel/ang?li
mm,mm/mm
aperçu,Overview/Is?ni?oki
imaginais,imagined/rigb?ràn
aussitôt,right away/ni bayi
énormes,huge/titobi
wade,wade/l?fin
choisit,choose/yan
montée,climb/gun
principes,principles/aw?n ilana
marchand,trader/oni?owo
cochons,pigs/aw?n elede
repéré,spotted/gbon
récupéré,recovered/gba pada
éclate,bursts/bursts
apparence,appearance/ifarahan
habiter,to live/lati gbe
Houston,Houston/Houston
jules,Jules/Jules
foudre,lightning/ina
chasseurs,hunters/?d?
walker,walker/walke
with,with/p?lu
nièce,niece/?m? arakunrin
mérité,deserved/y? fun
dépensé,spent/lo
boys,boys/omokunrin
saisir,to input/Lati tit? sii
équilibre,balance/iw?ntunw?nsi
allumé,alight/b?l?
lâches,cowardly/ma?e
bruits,noise/ariwo
protégé,protected/daabobo
poursuite,pursuit/ilepa
résidence,residence/ibugbe
cognac,cognac/koo
passées,past/ti k?ja
intime,respondent/dahun
république,Republic/Ij?ba olomibosa
serviteur,servant/?m?-?d? ?kunrin
noyer,walnut/awusa
mortes,dead/ku
trompée,deceived/tan
morgue,morgue/okun
cherchons,let's look/je ki awo
capables,capable/lagbara lati ?e nkan
apprendra,will learn/ma ko
amateur,amateur/alaim???? obinrin
dises,say/s?
permets,allow/gba pada
mafia,mafia/mafia
engagement,commitment/fi le?e
lesquelles,which/ewo
